Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Гоголь-Яновська,Валентин,Тарасович,Чоловіча,01-04-2006,Бібліотекар,село Дніпро,"вулиця Пантелеймонівська, буд. 652, Андрушівка, 96853",531 19 48,oriabchenko@example.org
Пилипенко,Альберт,Миколайович,Чоловіча,30-05-1990,Кінорежисер,село Прип'ять,"парк Кипарисний 1-й, буд. 331 кв. 868, Шахтарське, 07515",+380 66 833-98-54,habelkodan@example.com
Масляк,Ігнат,Васильович,Чоловіча,05-11-1945,Фармацевт,селище Христинівка,"узвіз Локальна, буд. 3 кв. 2, Лебедин, 92489",092 696-38-71,pylypenkooleksa@example.org
Швачка,Мирослав,Павлович,Чоловіча,17-02-1966,Музичний редактор,село Березне,"парк Тополина, буд. 9, Шептицький, 26412",075 892 93 70,jhrechko@example.com
Ющенко,Василина,Степанівна,Жіноча,10-04-2002,Громадський діяч,місто Макіївка,"вулиця Хімічний 1-й, буд. 95 кв. 49, Лиман, 34368",786-42-16,mariana36@example.com
Євтушенко,Амвросій,Борисович,Чоловіча,31-01-1955,Редактор,село Новий Розділ,"площа Велика Садова, буд. 2, Іршава, 23940",083 666 62 34,hrechkovira@example.net
Цимбал,Ігнат,Дмитрович,Чоловіча,25-11-1961,Графік,хутір Берегове,"сквер Жаботинського, буд. 4 кв. 0, Хутір-Михайлівський, 10799",+380 88 535-51-32,pandriichuk@example.net
Дашенко,Прохір,Максимович,Чоловіча,07-03-2003,Ріелтор,хутір Новий Калинів,"набережна Люстдорфський, буд. 8, Вуглегірськ, 48160",+380 48 846-63-56,obazylevych@example.net
Данильчук,Леонтій,Сергійович,Чоловіча,16-06-1975,Мінералог,село Могилів-Подільський,"набережна Стовпова, буд. 14 кв. 2, Полонне, 83922",+380 74 283-53-81,ptymchenko@example.org
Гуцуляк,Веніямин,Сергійович,Чоловіча,07-09-1961,Няня,селище Чернівці,"узвіз Михайла Врубеля, буд. 902, Хирів, 42847",078 971 10 53,vasyl86@example.com
Ярош,Мирослав,Євгенович,Чоловіча,15-01-1981,Епідеміолог,селище Гадяч,"проспект 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 889 кв. 235, Кременець, 69090",+380 06 570-46-99,saliitereza@example.com
Вдовенко,Ганна,Юріївна,Жіноча,01-03-1986,Намотувальник,селище Вільногірськ,"проспект Давида Бурлюка, буд. 26 кв. 3, Судова Вишня, 66270",+380 (64) 259-23-87,khrystynahres@example.org
Голобородько,Іван,Максимович,Чоловіча,21-07-2001,Флорист,село Тисмениця,"узвіз Лазурний 6-й, буд. 8 кв. 823, Привілля, 75438",+380 (34) 793-54-58,eandroshchuk@example.com
Ткач,Світлана,Сергіївна,Жіноча,19-12-1972,Скульптор,місто Павлоград,"набережна Школярський, буд. 54, Благовіщенське, 52893",+380 59 698-35-98,romantarasenko@example.org
Колісниченко,Кирило,Васильович,Чоловіча,09-06-1955,Гірничий інженер,село Старий Крим,"узвіз Високий, буд. 7, Ланівці, 36936",096 794-83-85,bohodar81@example.net
Парасюк,Єлисавета,Степанівна,Жіноча,07-05-1995,Актор,місто Зеленодольськ,"парк Лінія 52-га, буд. 584 кв. 6, Теплодар, 85726",094 830 26 95,okseniia02@example.org
Романець,Людмила,Миколаївна,Жіноча,08-08-1985,Юрист,село Самар,"проспект Каретний, буд. 15 кв. 0, Здолбунів, 48207",+380 (57) 263-32-45,okhrimfareniuk@example.net
Джунь,Лариса,Максимівна,Жіноча,20-01-1973,Геолог,селище Кам'янка-Бузька,"сквер Семена Яхненка, буд. 71, Новоград-Волинський, 82850",+380 18 235 68 67,hlib88@example.org
Товстуха,Василь,Андрійович,Чоловіча,28-02-1966,Детектив,хутір Горохів,"узвіз Князя Володимира Великого , буд. 66 кв. 107, Богодухів, 95446",+380 90 099-78-41,gokhrimenko@example.net
Орлик,Любов,Василівна,Жіноча,13-01-2001,Швачка,село Андрушівка,"парк Сірожупанників, буд. 39, Південне, 09709",+380 (29) 637-62-50,veniiamyn22@example.com
Козаченко,Назар,Григорович,Чоловіча,01-09-1964,Водій,село Ровеньки,"проспект Злакова, буд. 8, Кремінна, 74704",+380 24 631-82-87,petroivashchenko@example.com
Олійник,Орест,Григорович,Чоловіча,08-07-1950,Геофізик,село Звенигородка,"парк Шкільний аеродром, буд. 214 кв. 3, Красилів, 50532",545-39-85,upryimak@example.net
Адамчук,Семен,Григорович,Чоловіча,29-10-1947,Няня,село Немирів,"шосе Набережна, буд. 730, Судова Вишня, 30173",898 55 76,heorhiiishchenko@example.net
Шамрай,Ада,Тарасівна,Жіноча,25-10-1983,Слідчий,хутір Євпаторія,"шосе Вишневий, буд. 875, Білицьке, 45166",031 359-31-34,mykyta79@example.com
Корсун,Ростислав,Григорович,Чоловіча,25-07-1939,Локсмайстер,місто Ужгород,"сквер Калинова, буд. 36, Харків, 82808",948 94 50,symonenkoserhii@example.com
Захарченко,Емілія,Дмитрівна,Жіноча,14-11-1993,Астроном,місто Кілія,"провулок Тиха, буд. 3, Костянтинівка, 55078",+380 (58) 244-82-07,barabashieva@example.com
Свистун,Дан,Борисович,Чоловіча,29-01-1950,Водій,село Валки,"вулиця Пилипа Орлика, буд. 72 кв. 00, Біляївка, 30540",+380 (86) 989-86-74,ustenkomilena@example.net
Власенко,Тереза,Олександрівна,Жіноча,16-01-1991,Бізнесмен,місто Городок,"узвіз Розумовський 1-й, буд. 3 кв. 6, Дубровиця, 88205",462-67-38,liza49@example.org
Терещенко,Давид,Андрійович,Чоловіча,28-08-1994,Драматург,хутір Ворожба,"провулок Косовський, буд. 325 кв. 569, Путивль, 66360",787-58-28,vprokopovych@example.com
Скопенко,Емілія,Дмитрівна,Жіноча,08-09-1975,Каскадер,селище Зборів,"узвіз Андреєвського, буд. 74 кв. 1, Світловодськ, 78453",058 861 80 93,jlazarenko@example.org
Скиба,Едита,Павлівна,Жіноча,18-02-2006,Складальник,хутір Новогродівка,"сквер Усатівська, буд. 6, Тараща, 86874",+380 (10) 347-86-94,spasdanylchuk@example.com
Євдокименко,Веніямин,Павлович,Чоловіча,10-01-1947,Бізнесмен,місто Нетішин,"узвіз Ромашкова, буд. 8 кв. 603, Дрогобич, 29083",015 447-87-67,gzhytskyimarusia@example.com
Христенко,Анжела,Іванівна,Жіноча,17-06-1991,Публіцист,місто Привілля,"набережна Кам’янецький, буд. 827 кв. 96, Златопіль, 72953",549 37 86,saliidemyd@example.org
Зарудна,Гліб,Олександрович,Чоловіча,16-11-1987,Паралегал,селище Самар,"узвіз Естафетна, буд. 2, Знам'янка, 99220",122 84 48,xhohol-ianovskyi@example.net
Іванченко,Ада,Петрівна,Жіноча,28-04-1949,Дерун,хутір Берегове,"сквер Китобійний 1-й, буд. 905, Овруч, 74827",+380 31 587-53-88,nvovk@example.org
Теличенко,Василь,Павлович,Чоловіча,17-10-1952,Водій,місто Городня,"сквер Почаївська, буд. 761, Кропивницький, 29725",824 72 91,xtytarenko@example.org
Медведенко,Станіслав,Євгенович,Чоловіча,10-09-1964,Бібліограф,місто Володимир-Волинський,"сквер Кустанайська, буд. 7, Дубляни, 70195",+380 81 481 99 84,solomontovstukha@example.net
Шахрай,Людмила,Василівна,Жіноча,12-12-1974,Хімік,місто Гайсин,"набережна Курортний 6-й, буд. 6 кв. 668, Добропілля, 28860",+380 94 835 07 51,viktor19@example.org
Дрозденко,Федір,Максимович,Чоловіча,04-06-1948,Кухар,місто Сватове,"вулиця Михайла Слабченка, буд. 9 кв. 3, Ірміно, 48111",+380 (30) 010-24-83,artiukhhanna@example.com
Андріїшин,Степан,Володимирович,Чоловіча,06-03-1961,Психолог,місто Тернопіль,"проспект Малинова, буд. 58, Липовець, 26203",+380 61 845 43 65,iosyp45@example.com
